Combination of Genres,Average Revenue
Adventure|Fantasy|Animation|Family,72602306.0
War|Drama|Action|History,72539540.0
Adventure|Family|Science Fiction,71992655.0
Science Fiction|Mystery|Adventure,71923560.0
Drama|Mystery|Thriller|Crime,71832359.25
Action|Comedy|Thriller|Crime,71255003.0
Fantasy|Family|Animation|Adventure,71215869.0
Action|Comedy|Thriller|Crime|Family,71079915.0
Romance|Fantasy|Drama|Comedy,71074049.0
Horror|Comedy|Fantasy|Thriller,71041255.0
Comedy|Romance|Drama,70938617.45714286
Comedy|Fantasy|Horror,70929720.0
Adventure|Horror|Action|History,70752904.0
Adventure|Action|Comedy|Romance,70719096.2
Drama|History|Mystery|Thriller,70600000.0
Adventure|Drama|Romance,70595837.0
Drama|Action|Thriller|Science Fiction,70595464.0
War|History|Adventure|Drama,69995385.0
Drama|Action|History,69802362.0
Crime|Mystery|Thriller,69779729.57142857
Comedy|Action|Adventure|Thriller,69631118.0
War|Action|History|Thriller|Drama,69411370.0
Drama|War,69261510.57692307
Action|Drama|Mystery|Thriller|Crime,69244778.5
Comedy|Family|Romance,69160052.0
Family|Adventure|Comedy|Drama|Fantasy,69131860.0
Action|Drama|Fantasy|Mystery|Science Fiction,69000000.0
Action|Adventure|Drama|Fantasy,68986828.25
History|Drama,68986097.0
Adventure|Comedy|Drama|Fantasy,68855107.33333333
Comedy|Romance,68533545.91542289
Adventure|Fantasy|Animation|Action|Family,68411275.0
Horror|Crime,68075217.0
Action|Thriller|Adventure|Crime,67921573.0
Horror|Action|Fantasy,67918658.0
Adventure|Action|Animation,67690089.66666667
Science Fiction|Comedy|Crime,67683989.0
Action|Drama|Romance|Thriller,67091915.0
Adventure|Drama|Action|History|War,66976317.0
Comedy|Adventure|Family|Fantasy,66909141.5
Adventure|Comedy|Family,66711660.166666664
Fantasy|Adventure|Comedy|Family,66450000.0
Thriller|Drama|History,66410358.0
Adventure,66177464.833333336
Family|Drama|Music,66122026.0
Comedy|Family|Adventure|Fantasy|Romance,66002004.0
Family|Action|Adventure|Science Fiction|Fantasy,66000000.0
Drama|Thriller|Action,65573466.0
Drama|Comedy|Crime,65369993.25
Family|Action|Adventure|Comedy|Fantasy,65270477.0
Science Fiction|Comedy|Family|Fantasy,65088797.0
Family|Fantasy|Science Fiction|Adventure|Comedy,65079104.0
Fantasy|Animation|Family,65006702.428571425
Science Fiction|Comedy|Adventure,64780213.0
Science Fiction|Thriller|Horror,64514132.2
History|Romance|Drama,64249602.5
Adventure|Comedy|Animation,64241499.0
Crime|Drama|Action|Thriller,64141314.5
Horror|Thriller|Mystery|Science Fiction,64110728.0
Action|Science Fiction|Animation,63867747.0
Crime|Thriller|Romance|Drama,63848322.0
Comedy|Music|Romance|Drama,63464861.0
Action|Adventure|Romance|Science Fiction|Thriller,63327201.0
Romance|Adventure|Drama,62832209.0
Music|Drama|Romance|Family,62646763.0
Crime|Action|Comedy,62231347.666666664
Comedy|Adventure|Action,62051838.0
Action|Crime|Thriller|Horror,62022014.0
Drama|History|War,61801896.384615384
Animation|Action|Fantasy|Adventure,61793529.4
Family|Animation|Adventure|Comedy|War,61746888.0
Adventure|Action|Drama|History,61700000.0
Fantasy|Action|Comedy|Crime,61648500.0
Romance|Animation|Fantasy,61631776.0
Comedy|Family|Fantasy,61631008.9375
Drama|Thriller|Horror,61446380.25
Science Fiction|Thriller|Mystery,61304324.333333336
Comedy|Drama|Family,60475958.5
Comedy|Drama|Romance,60470376.2735849
Science Fiction|Drama,60459772.23076923
Family|Animation|Music|Adventure|Fantasy,60330833.0
Action|Thriller|Drama|Crime,60161391.0
Family|Comedy,60068710.0
Action|Adventure|Comedy|Crime,60000000.0
History|War|Drama|Adventure,60000000.0
Animation|Science Fiction|Family|Comedy,60000000.0
Drama|Action|History|Thriller,59802436.333333336
Comedy|Animation|Adventure|Family|Fantasy,59779555.0
Drama|Romance|Music,59737811.333333336
Action|Science Fiction|Thriller,59491395.52941176
Horror|Mystery,59388718.897435896
Comedy|Family|Science Fiction,59325742.0
Mystery|Science Fiction|Thriller,59226876.5
Action|Crime|Thriller,58921583.84057971
Romance|Adventure,58853106.0
Horror|Action|Science Fiction,58827394.571428575
Comedy|Documentary|Action,58612135.5
Action|Adventure|Comedy|Family,58382396.4
Animation|Adventure|Family|Fantasy,58357146.28571428
Comedy|Fantasy|Romance|Horror,58292295.0
Action|Adventure|Fantasy|Science Fiction|Thriller,58228460.0
Action|Adventure|Comedy|Thriller,57978761.25
Mystery|Action|Thriller|Science Fiction|Adventure,57958696.0
Adventure|Comedy|Family|Fantasy|Science Fiction,57881056.0
Music|Comedy,57784835.8
Drama|Romance|Comedy|Music,57588485.0
Action|Comedy|Thriller,57473210.166666664
Animation|Drama|Family,57439031.8
Comedy|Crime,57355421.803921565
Comedy|Action|Science Fiction,57178574.5
Thriller|Drama|Crime|Mystery|History,56996304.0
Horror|Comedy|Action|Science Fiction|Thriller,56870414.0
Crime|Comedy,56186027.428571425
Crime|Drama|Thriller|Action,56076908.25
Drama|Mystery|Science Fiction,56056655.5
Animation|Drama|Family|Fantasy,55060661.0
Mystery|Horror|Action,54956140.0
Action|Comedy|Crime|Drama,54900701.0
Comedy|Adventure|Fantasy|Science Fiction|Action,54682547.0
Drama|Thriller|Science Fiction,54563056.0
Mystery|Comedy|Crime,54158838.0
Animation|Family,54089523.96551724
Adventure|Fantasy|Animation|Drama|Family,54016370.0
Comedy|Western,53508758.2
Action|Crime,53473733.548387095
Drama|Action,53368684.375
Comedy|Drama|War,53002082.75
Action|Thriller,52607872.88429752
Crime|Mystery|Thriller|Action,52589280.5
Comedy|Music,52513617.5
Comedy|History,52495846.666666664
Comedy|Adventure|Fantasy,52395996.0
History|Music|Drama,51973029.0
Adventure|Romance|Drama,51842679.0
Action|Adventure|Drama|Mystery,51723285.0
Fantasy|Animation|Romance|Family,51600000.0
Mystery|Horror,51418001.0
Romance|Drama|Thriller|Crime,51148651.0
Animation|Comedy|Family|Crime,51053787.0
Music|Drama|Romance,51025826.666666664
Drama|War|History,50794529.0
Comedy|Romance|Drama|Family,50732139.0
Fantasy|Thriller|Mystery,50710400.0
Comedy|Science Fiction|Adventure|Family,50650079.0
Action|Crime|Drama|History|Thriller,50548152.0
Animation|Family|Comedy|Adventure|Romance,50500000.0
Comedy|Drama|Family|Fantasy,50236831.0
Family|Animation|Comedy,50132979.9375
Family|Comedy|Drama|Romance,50007546.0
Comedy|Drama|History,49941044.333333336
Drama|Music|Romance,49915251.583333336
Animation|Fantasy|Action|Adventure|Drama,49714378.0
Thriller|Horror|Action,49685126.0
Action|Comedy|Drama,49258927.0
History|Drama|War|Action,49196532.0
Comedy|Science Fiction|Action,49188146.0
Thriller|Crime|Action|Horror,49078000.0
Action|Drama|History,48732246.4
Animation|Adventure|Comedy|Family|Fantasy,48718553.0
Comedy|Family,48621008.431372546
Comedy|Music|Romance,48611107.0
Horror|Comedy|Action|Adventure|Fantasy,48572000.0
Action|Adventure|Animation|Science Fiction|Thriller,48428063.0
Drama|Romance|Comedy,48320113.333333336
Action|Comedy|Fantasy|Romance,48000000.0
Adventure|Drama,47676584.2
Romance|Science Fiction|Drama,47351251.0
Action|Adventure|Crime|Mystery|Thriller,47326966.0
Comedy|Drama|Family|Fantasy|Science Fiction,47301471.0
Horror|Fantasy|Adventure|Mystery,47078545.0
Family|Animation|Comedy|Fantasy|Adventure|Music,47000000.0
Comedy|Drama|Science Fiction,46995915.0
Animation|Adventure|Comedy|Fantasy,46901774.0
Action|Drama|Thriller|Crime,46844243.0
Action|Adventure|Drama|History|Romance|War,46670360.5
Comedy|Family|Drama,46589624.5
Family|Adventure|Drama,46554656.25
Drama|Crime|Music,46442528.0
Family|Comedy|Action,46416544.5
Crime|Drama|Thriller,46269397.27941176
Comedy|Drama|History|Adventure,46152411.0
Drama|Romance,45990042.30331753
Action|Comedy|Horror|Thriller,45867333.0
Comedy|Action|Drama,45552553.333333336
Drama|Thriller|Mystery,45486732.571428575
Drama|Thriller|Crime|Adventure,45361000.0
Thriller|Crime|Drama|Mystery,44996716.8
Drama|Crime,44746670.31111111
Science Fiction|Action|Horror,44734776.25
Drama|Romance|War,44705963.63636363
Science Fiction|Horror|Thriller,44664313.5
Drama|Thriller|Crime,44641410.777777776
Fantasy|Thriller|Horror,44581081.0
Adventure|Comedy|Romance,44573652.0
Science Fiction|Family|Comedy|Animation,44460850.0
Drama|Mystery|Thriller,44350544.11764706
Horror|Drama|Thriller|Adventure,44235023.0
Drama|Mystery|Science Fiction|Thriller,44107206.5
Comedy|Family|Animation,44000000.0
Action|Adventure|Fantasy|Horror|Science Fiction|Thriller,43920021.0
Romance|Drama|History,43896282.666666664
Action|Thriller|Drama,43799781.27272727
Action|Comedy|Family,43440810.5
Action|Fantasy|Horror,43429453.666666664
Crime|Thriller|Horror,43203413.0
Drama|Action|Thriller|Crime,43125837.25
Crime|Animation|Adventure|Mystery,43000000.0
Fantasy|Science Fiction,42918532.0
Horror|Mystery|Thriller,42834190.80851064
Mystery|Drama|Romance,42756150.0
War|Action|Comedy|Drama,42724017.0
Drama|Family|Romance,42663616.0
Drama|Thriller|Crime|Romance,42653187.0
Crime|Drama|Family,42580321.0
Family|Adventure|Animation|Fantasy|Action,42538454.0
Documentary|Family,42464079.666666664
Horror|Drama|Fantasy,42295573.833333336
Animation|Drama|Mystery|History,42187665.0
Adventure|Comedy|Family|Fantasy|Romance,42000000.0
Drama|Crime|Thriller,41949765.9047619
Horror|War|Science Fiction,41657844.0
War|History|Action,41509280.0
Science Fiction|Action|Drama|Romance|Adventure|Thriller,41142379.0
History|Drama|Comedy,41062402.5
Thriller|Action|Mystery,41047474.0
Drama|Music,41018084.95
Action|Comedy|Romance,40943639.25
Action|Horror|Science Fiction|Thriller,40882928.0
Adventure|Animation|Family|Western,40766041.0
Action|Adventure|Crime|Thriller,40632858.2
Fantasy|Adventure|Family|Animation,40577001.0
Animation|Science Fiction|Action|Drama,40549995.333333336
Mystery|Adventure|Comedy|Crime,40462793.0
Drama|Fantasy|Horror|Mystery,40423945.0
Crime|Drama|History|Thriller,40306840.5
Science Fiction|Drama|Romance|Comedy,40263020.0
Western|Comedy,39833333.333333336
Thriller|Crime|Action,39784937.0
Family|Animation|Adventure,39757525.63636363
Comedy|Western|Adventure,39200000.0
Drama|Fantasy,39157647.27272727
Drama|History,39089641.279569894
Mystery|Thriller|Horror,39035831.7
Action|Comedy|Thriller|Crime|Science Fiction,39031337.0
Thriller|Crime|Mystery,38937976.625
Thriller|Drama|Romance,38855779.6
Adventure|Crime|Family|Comedy,38830219.0
Comedy,38804921.288636364
Family|Adventure|Animation|Fantasy,38800000.0
Adventure|Family|Science Fiction|Thriller,38793283.0
Animation|Family|Adventure|Mystery,38625550.0
Drama|History|Comedy,38573389.0
Adventure|Comedy|Drama|Family,38530920.0
Thriller|Western|Adventure,38364277.0
Crime|Drama|Horror|Thriller,38246663.75
Comedy|Drama|Family|Fantasy|Romance,38159905.0
Comedy|Adventure,37928924.55555555
Drama|Action|Thriller|Crime|Mystery,37917863.5
Action|Crime|Thriller|Mystery,37859972.666666664
Action|Fantasy|Adventure,37805746.0
Action|Fantasy,37682623.11111111
Western|Crime,37589296.0
Action|Animation|Adventure|Comedy,37430591.5
Drama|Action|Thriller,37427253.23076923
Drama|History|Crime|Thriller,37357216.0
Comedy|Science Fiction,37340984.461538464
Horror|Mystery|Thriller|Drama,37080606.333333336
Western|Drama|History,36976336.0
Action|Crime|Drama,36970467.94444445
Animation|Action|Science Fiction|Family|Adventure,36754634.0
Adventure|Action|Comedy,36741724.428571425
Drama|Comedy|Romance,36727299.6875
Adventure|Family|Drama,36689609.0
Drama|Thriller|Crime|Mystery,36599430.375
Family|Comedy|Adventure,36560480.6
Horror|Crime|Mystery,36544468.0
Science Fiction|Comedy|Family,36450736.0
Drama|Comedy|Music,36426754.333333336
Family|Animation|Romance,36359037.0
Science Fiction|Drama|Romance,36129063.0
Adventure|Comedy|Crime,35934163.5
Animation|Adventure|Family,35896589.90909091
Comedy|Mystery,35818644.333333336
Crime|Drama|Mystery|Thriller,35765666.17391305
Romance|Comedy,35711532.7027027
Action|Adventure|Drama|History|War,35500000.0
Family|Animation|Action|Adventure|Fantasy|Science Fiction,35478868.5
Romance|Drama|Comedy,35336763.6
Action|Adventure|Comedy|Family|Fantasy|Science Fiction,35278623.0
Drama|Horror|Science Fiction|Thriller,35273557.0
Drama|Comedy|Family,34842725.75
Thriller|Drama|Crime,34714820.85714286
Thriller|Adventure|Mystery|Fantasy|Horror|Science Fiction,34592118.0
Drama|Thriller|War,34505569.75
Animation|Drama|Science Fiction,34394825.5
Thriller|Drama|Crime|Horror,34266564.0
Comedy|Drama|Family|Romance,34252118.333333336
Music|Documentary,34181137.166666664
Animation|Action|Science Fiction|Adventure,34141422.0
Fantasy|Adventure|Action|Mystery,34100000.0
Animation|Adventure|Romance,34061097.0
Drama|History|Romance,34038956.36363637
Drama|Thriller|Crime|History,33917632.0
Fantasy|Horror|Thriller,33758965.5
Animation|Drama|Romance|Family,33748006.0
Fantasy|Comedy|Drama,33460895.5
Comedy|Crime|Drama|Romance|Thriller,33013805.0
Romance|Fantasy|Drama,32831638.0
Crime|Thriller|Horror|Drama,32721635.0
Comedy|Animation|Family|Adventure|Science Fiction|Fantasy,32700000.0
Horror|Thriller|Mystery,32674307.170212764
Science Fiction|Adventure|Drama|Action,32589624.0
Romance|Thriller,32531380.0
Animation|Family|Fantasy,32528850.8
Family|Animation|Comedy|Adventure|Fantasy|Music,32450241.0
Crime|Action|Comedy|Thriller,32392047.0
Animation|Family|Adventure|Comedy|Science Fiction,32381362.0
Family|Fantasy|Animation|Adventure,32302699.666666668
Thriller|Mystery|Adventure,32181217.5
Romance|Comedy|Drama,32163221.42857143
Drama|Family,32155026.722222224
Action|Adventure|Fantasy|Family,32140970.0
Science Fiction|Drama|Romance|Action,32104054.0
Action|Drama|Thriller|Romance,32000000.0
Thriller|Drama|Mystery|Crime,31882724.0
Drama|Comedy,31575838.76811594
Music|Drama,31512690.611111112
Horror|Science Fiction|Mystery|Thriller,31505287.0
Action|Comedy|Music,31439140.0
Fantasy|Comedy|Adventure,31429330.0
Comedy|Drama|Horror|Mystery|Thriller,31347154.0
Thriller|Action|Drama,31225593.444444444
Science Fiction|Drama|Thriller,31202600.333333332
Drama|Romance|Fantasy,31156603.57142857
Crime|Thriller,31083161.26470588
Mystery|Adventure|Comedy|Romance|Drama,30987695.0
Adventure|Family|Fantasy|Comedy|Romance,30861665.0
Mystery|Thriller,30815962.333333332
Drama|Fantasy|Mystery|Romance,30800231.0
Horror|Thriller|Fantasy|Drama,30749142.0
Drama|Science Fiction|Horror,30744632.5
Mystery|Drama|Horror,30658387.0
Adventure|Drama|Horror,30628667.0
Action|Comedy,30618884.542372882
War|Romance|Drama,30500000.0
Comedy|Science Fiction|Romance,30448073.5
Action|Horror|Thriller,30320388.1
Fantasy|Action|Thriller|Science Fiction|Mystery,30231200.0
Action|Family|Fantasy|Adventure|Comedy,30060061.0
Crime|Action|Drama|Thriller,30039255.666666668
Drama|Science Fiction|Mystery|Romance,30002758.0
Horror|Thriller|Science Fiction,29889344.0
War|Drama|Romance|Action|Adventure,29882645.0
Crime|History,29800000.0
Adventure|Fantasy|Action|Comedy|Science Fiction,29762011.0
Action|Comedy|Thriller|Mystery,29677944.0
Adventure|Drama|History,29549350.5
Western|Adventure,29500000.0
Comedy|Drama|Fantasy|Romance,29404574.5
Adventure|Fantasy|Animation|Action|Comedy|Thriller|Science Fiction|Family,29170410.0
Drama|History|Thriller,29084533.777777776
Action|Adventure|Science Fiction|War,29000000.0
Comedy|Drama,28987228.37857143
Adventure|Animation|Family|Fantasy|Music,28946127.0
Fantasy|Thriller|Action|Crime,28931401.0
Comedy|Romance|Crime,28878204.0
Comedy|Action|Adventure|Family,28818995.0
Comedy|Horror|Thriller,28818677.5
Animation|Action|Comedy|Science Fiction,28646544.0
Adventure|Drama|Action|Thriller,28611945.0
Comedy|Animation|Family,28201128.5
Adventure|Drama|Family|Fantasy|Science Fiction,28200000.0
Action|Adventure|Crime|Science Fiction|Thriller,28188691.5
Drama|Romance|Adventure|Action,28000000.0
Horror|Drama|Thriller,27928633.0
Animation|Family|Fantasy|Adventure|Drama,27526961.0
Thriller|History|Drama,27325902.0
Mystery|Science Fiction,27200316.0
Drama|Animation|Family|Comedy|Fantasy,27100027.0
Drama|Thriller|Comedy,27007072.0
Thriller|Mystery|Drama,26905287.166666668
Animation|Fantasy|Family,26898583.5
Crime|Drama|Western,26838290.0
Action|Thriller|Comedy|Crime,26820641.0
Fantasy|Thriller,26810113.0
Animation|Adventure|Fantasy|Action|Family,26654184.0
Comedy|War,26576452.666666668
Horror|Mystery|Science Fiction|Thriller,26559557.0
Comedy|Action,26547193.523809522
Animation|Family|Fantasy|Comedy,26441892.0
Action|Drama,26366545.393939395
Family|Animation|Comedy|Adventure|Fantasy,26249469.0
Horror|Thriller,26190229.44390244
Action|Drama|History|Thriller,26049545.0
Comedy|Romance|Science Fiction,25967024.0
War|Drama|History,25950041.5
Horror|Action|Thriller|Crime,25836616.0
Family|Adventure|Fantasy,25767860.75
Action|Fantasy|Horror|Science Fiction,25708232.0
Romance|Drama|Music,25633243.0
Fantasy|Horror|Thriller|Science Fiction,25480490.0
Action|Horror|Crime|Thriller,25399945.0
Comedy|Fantasy|Science Fiction,25342754.25
Adventure|Comedy|Family|Romance,25333333.0
Thriller|Crime|Drama,25305207.545454547
Action|Adventure|Fantasy|War,25303038.0
Crime|Drama|Action|Thriller|Horror,25232289.0
Mystery|Thriller|Crime,25132707.666666668
Adventure|Drama|Thriller,25066058.333333332
Western|Drama|Action|Adventure,25052000.0
Comedy|Music|Romance|Crime,25000000.0
Thriller|Horror|Mystery,24927732.181818184
Crime|Drama|Romance|Thriller,24757396.5
Action|Thriller|Crime|Mystery,24617113.333333332
Drama,24513233.33397313
Thriller|Romance|Mystery,24500000.0
Action|Mystery|Fantasy,24340302.0
Drama|Fantasy|Mystery,24261723.0
Animation|Action|Thriller|Adventure|Fantasy,24200000.0
Fantasy|Romance,24025323.666666668
Horror|Action|Thriller,24000774.769230768
Adventure|Action|Family,23937870.0
Drama|History|Music,23930683.5
Animation|Comedy|Music,23833131.0
Thriller|Action|Crime|Drama,23739387.0
Comedy|Music|Drama,23523354.8
Action|Adventure|Drama|History,23469090.333333332
Western|Action,23394659.333333332
Crime|Drama|Thriller|History,23355100.0
Comedy|Crime|Drama|Mystery,23229371.0
Family|Animation|Adventure|Science Fiction|Comedy,23159305.0
Fantasy|Drama|Family,23132192.0
Fantasy|Romance|Family|Comedy,23006849.0
Thriller|Crime|Horror,22986417.75
Family|Adventure|Animation|Comedy|Fantasy,22967767.5
Comedy|Action|Family|Drama,22955097.0
Science Fiction|Mystery|Thriller,22942477.666666668
Action|Crime|Drama|Thriller|Mystery,22942221.0
Drama|Horror,22876510.692307692
Comedy|Crime|Thriller,22815061.75
Drama|Romance|Crime,22769922.2
Western,22736032.739130434
Family|Science Fiction|Fantasy|Comedy,22300000.0
Romance|Science Fiction|Drama|Fantasy,22187813.0
Horror|Fantasy|Thriller,22059211.0
Family|Animation|Adventure|Fantasy,22056305.5
Animation|Action|Adventure|Family,22047998.0
Action|Adventure|Comedy|Crime|Drama|Thriller,21890845.0
Documentary|Adventure,21790193.0
Comedy|Family|Science Fiction|Drama,21630088.0
Adventure|Comedy|Drama|Romance,21611204.0
Drama|Horror|Thriller,21482381.76
Comedy|Science Fiction|Family,21274717.0
Animation|Music|Comedy,21000000.0
Drama|Science Fiction,20728905.230769232
Animation|Action|Adventure|Fantasy|Romance|Science Fiction,20725409.0
Action|Horror|Mystery|Science Fiction|Thriller,20648328.0
Adventure|History|Action,20566299.666666668
Drama|Horror|Mystery,20400236.125
Drama|Western|Crime,20211394.0
Drama|Family|Fantasy|Adventure,20158808.0
Animation|Romance|Fantasy|Action|Drama,20150000.0
Animation|Science Fiction|Adventure|Fantasy|Music,20100000.0
Drama|Science Fiction|Animation|Action,20000000.0
Adventure|War,20000000.0
Animation|Action|Fantasy|Drama|Romance,19790000.0
Thriller|Drama,19752373.666666668
Adventure|Comedy|Drama,19695662.57142857
Drama|Animation|Romance|War|History,19496308.0
Family|Animation,19484686.782608695
Drama|Romance|Science Fiction|Adventure,19454845.0
Comedy|Crime|Romance,19351569.0
Fantasy|Drama|Science Fiction|Romance,19271312.0
Drama|Romance|Crime|Mystery,19255873.0
Comedy|Horror|Fantasy,19246344.0
Crime|Drama|Action,19172750.0
Drama|Family|Fantasy|Romance|Science Fiction,19158074.0
Adventure|Science Fiction|Mystery,18999718.0
Romance|Drama,18922891.260869566
Animation|Fantasy|Science Fiction,18900000.0
History|Drama|Thriller,18878646.0
Science Fiction|Mystery,18717947.0
Family|Science Fiction|Adventure,18564613.0
Family|Fantasy|Comedy,18547990.85714286
Action|Science Fiction|Thriller|Crime,18409891.0
Action|Comedy|Western|Crime,18381890.0
War,18366666.666666668
Drama|Comedy|Western,18340000.0
Crime|Drama,18332734.57142857
Thriller|Drama|Action,18299404.75
Comedy|Drama|Mystery,18291495.2
Drama|Thriller,18231737.60784314
Crime|Drama|Music,18197518.0
Adventure|Drama|Fantasy,18192220.0
Thriller|Action,18159907.523809522
Drama|Fantasy|Thriller|Horror,18123239.0
Adventure|Animation|Family|Comedy|Fantasy,18115724.0
Action|Drama|War,18024469.0
Action|Animation|Drama|Science Fiction|Thriller,18000000.0
Action|Adventure|Family|Fantasy|Science Fiction|Thriller,17979739.0
Action|Crime|Mystery|Thriller,17976667.0
Family|Comedy|Animation|Adventure,17810386.0
Drama|History|Romance|Thriller|Adventure|War,17800000.0
Drama|War|Romance|History,17709155.0
Horror|Mystery|Thriller|Crime,17671101.0
Drama|Adventure|Family,17643857.0
Animation|Adventure|Family|Western,17635215.0
Science Fiction|Adventure|Action|War,17626234.0
Thriller|Fantasy,17440800.0
Action|Animation|Drama|Fantasy|Romance,17422935.0
Fantasy|Horror|Science Fiction|Thriller,17407888.5
Science Fiction|Action|Crime,17374595.0
Action|Fantasy|Science Fiction|Adventure|Thriller,17336370.0
Science Fiction|Thriller|Drama|Romance|Mystery,17325485.0
Comedy|Drama|Crime,17266891.5
Action|Crime|Thriller|Drama,17261462.4
Horror|Comedy|Fantasy,17225188.0
Music|Fantasy|Action|Family,17177993.0
Family|Drama|Comedy,16997234.25
Animation|Drama|Fantasy,16994759.0
Music|Drama|Comedy,16991902.0
Horror,16990385.582608696
Thriller|History|Drama|Action,16872691.0
Family|Drama,16786863.875
Horror|Science Fiction|Thriller,16668340.6
Drama|Action|History|War,16653488.0
War|Action|Science Fiction,16647800.0
Fantasy|Animation|Science Fiction|Family,16600000.0
Crime|Drama|Mystery,16585819.785714285
Comedy|Crime|Mystery,16570423.333333334
Action|Romance|Animation,16500000.0
Action|War,16431713.6
Horror|Action,16397941.25
Romance|Horror|Comedy|Thriller,16374328.0
Animation|Fantasy|Action,16341966.0
Crime|Thriller|Animation,16330622.0
War|Drama|Adventure,16322067.0
Action|History|Drama,16207953.666666666
Adventure|Drama|Action|History,16109011.5
Horror|Drama|Mystery,16056031.333333334
Action|Drama|Family|Adventure,15876353.0
Comedy|Crime|Mystery|Thriller,15785148.0
Western|Drama|Mystery,15700000.0
Crime|Action,15578390.2
Romance|Comedy|Family,15529709.0
Adventure|Fantasy|Horror|Family,15360553.0
Comedy|Drama|Music|Romance|War,15313606.0
Drama|Adventure|Science Fiction|Romance,15304890.0
Drama|Adventure|Fantasy,15185241.0
Comedy|Family|Music|Romance,15171476.0
Drama|Fantasy|Horror,15166054.666666666
Thriller|Science Fiction,15113514.0
Comedy|Fantasy|Horror|Thriller,15104310.0
Action|Adventure|Horror|Thriller,15007991.0
Romance|Adventure|Science Fiction|Drama,14793385.0
Action|Drama|Western,14711793.0
Drama|Mystery|Comedy,14710975.0
Family|Animation|Fantasy|Adventure|Music,14665733.0
Comedy|Thriller|Crime|Mystery,14643997.0
Mystery,14560084.0
Science Fiction|Thriller|Drama|Mystery,14154511.0
Mystery|Drama,14149747.5
Crime|Drama|History|Romance,14096321.0
Music|Action|Comedy|Crime,14051384.0
Animation|Drama,14015986.0
Action,13928636.63392857
Fantasy|Mystery|Thriller,13896600.0
Fantasy|Adventure|Comedy,13829165.5
Comedy|Horror|Science Fiction,13790519.0
Crime|Action|Thriller,13728778.0
Adventure|Horror,13727773.5
Family|Fantasy|Science Fiction|Animation,13670688.0
Action|Adventure|Crime|Drama|Thriller,13651534.333333334
Crime|Thriller|Romance,13625404.5
Comedy|Romance|Drama|Music,13624522.0
Music|Animation|Family|Fantasy,13603453.0
Adventure|Animation|Action|Comedy|Family,13596911.0
